Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Albania,Lezha,Valente ,340,,,,,
Albania,Lezha,Johannes ,592,,,,,
Albania,Lezha,Giacomo,1357,?,,,,
Albania,Lezha,Domenico Progoni,1369,?,,,,
Albania,Lezha,"Gregorio da Venezia, O.F.M. ",1385,,,,,
Albania,Lezha,"Francesco Petri, O.Cist.",1394,?,,,,
Albania,Lezha,"Andrea de Rhegino, O.P. ?",,1397,,,,
Albania,Lezha,Andrea Sume danach Bischof von Albanien,1405,1426,,,,
Albania,Lezha,"Pietro Sarda, O.F.M.",1427,1438,,,,
Albania,Lezha,Pietro Domgion,1459,?,,,,
Albania,Lezha,Vito Jonyma,1474,?,,,,
Albania,Lezha,Pietro Malcasi,1478,?,,,,
Albania,Lezha,Pietro,1485,?,,,,
Albania,Lezha,"Francesco Conti, O.P.",1504,?,,,,
Albania,Lezha,Giorgio Negri 1512,1509,circa,,,,
Albania,Lezha,"Michele di Natera, O.P.",1513,1513,,,,
Albania,Lezha,Nicola Dabri,1513,?,,,,
Albania,Lezha,Nicola Modulo,1517,?,,,,
Albania,Lezha,"Pedro Gil, O.S.Jo.Hier. –1518",1518 ?,,,,,
Albania,Lezha,"Bernardino Giovanni Gionema, O.F.M.",1518,?,,,,
Albania,Lezha,"Fernando de Rosas, O. de M.",1519,?,,,,
Albania,Lezha,Nicola Naule ? –circa,1525,,,,,
Albania,Lezha,Gionj Stymaj,1525,?,,,,
Albania,Lezha,Antonio de Nigris,1529,1535,,,,
Albania,Lezha,"Guglielmo de Furby, O.Carm.",1535,1556,,,,
Albania,Lezha,"Nicola Gerino, O.Cist. 1692",1558,circa,,,,
Albania,Lezha,Antonio de Nigris circa 2. Mal,1559,?,,,,
Albania,Lezha,Giovanni Crassinga,1560,1575,,,,
Albania,Lezha,Teodoro Calumpsi 1578,1575,circa,,,,
Albania,Lezha,"Marino Braiano, O.F.M.",1578,?,,,,
Albania,Lezha,"Innocenzo Stoicino, O.S.B.",1596,1620,,,,
Albania,Lezha,"Benedetto Orsini, O.F.M. 1654",1621,circa,,,,
Albania,Lezha,Giorgio Vladagni 1692,1656,circa,,,,
Albania,Lezha,Nicola Vladagni,1692,1705,,,,
Albania,Durres,Eucarius ,431,,,,,
Albania,Durres,Lucas  und,451,,,,,
Albania,Durres, ? ,519,,,,,
Albania,Durres,Urbicius ,598,,,,,
Albania,Durres,Sisinnius ,692,,,,,
Albania,Durres,Niceforus ,787,,,,,
Albania,Durres,Antonius ,810,,,,,
Albania,Durres,Lucianus ,879,,,,,
Albania,Durres,Lorenz,1040,ca. 1053,,,,
Albania,Durres,Antonius,1296,1301,,,,
Albania,Durres,Peter,1303,1304,,,,
Albania,Durres,Matteo,1320,1334,,,,
Albania,Durres,"Pietro da Geronsa, O.F.M.",1340,?,,,,
Albania,Durres,"Angelo, O.F.M.",1344,?,,,,
Albania,Durres,"Antonio da Alessandria, O.F.M.",1349,?,,,,
Albania,Durres,Demetrius,1363,?,,,,
Albania,Durres,Johannes,1388,?,,,,
Albania,Durres,"Stefano da Napoli, O.Carm.",1394,?,,,,
Albania,Durres,Giovanni Panella danach Bischof von Capaccio,1395,"1399,",,,,
Albania,Durres,Leonardo Piermicheli,1399,?,,,,
Albania,Durres,Minore,1403,?,,,,
Albania,Durres,"Giovanni di Durazzo, O.P. oder",1422,,,,,
Albania,Durres,"Nicola di Cosma, O.F.M.",1422,?,,,,
Albania,Durres,Giovanni de Monte,1429,1441,,,,
Albania,Durres,Giacomo da Cortino,1457,?,,,,
Albania,Durres,"Stefano Birello, O.S.M.",1458,1459,,,,
Albania,Durres,Pal Engjëlli,1460,?,https://de.wikipedia.org/wiki/Pal_Engj%C3%Ablli,"Pal Engjëlli (italienisch Paolo Angeli; * 1416; † 1470) war Erzbischof von Durrës.  Über das Leben Engjëllis gibt es kaum sichere Daten. Der Autor der ersten Biographie des albanischen Fürsten Skanderbeg, Marin Barleti (1450–1512), berichtet, dass der Erzbischof aus einer Adelsfamilie stammte, die dem Fürstenhaus Kastrioti eng verbunden gewesen sei. Engjëlli soll mehrfach für Skanderbeg in diplomatischer Mission in Italien und in Ragusa gewesen sein, wo er um Unterstützung gegen die Osmanen warb. 1467 war er als Botschafter Skanderbegs in Venedig.  Von ihm ist der erste in albanischer Sprache geschriebene Satz überliefert. Es handelt sich um die Taufformel (Albanisch: Formula e Pagëzimit): Un'te paghesont' pr'emenit t'Atit e t'Birit e t'Spirit Senit. (= Ich taufe dich im Namen des Vaters und des Sohnes und des Heiligen Geistes.) Die Taufformel wurde in einem lateinischen Pastoralbrief gefunden, den der Erzbischof nach der Visitation einer Kirche in der Landschaft Mati geschrieben hatte. Der Brief datiert vom 8. November 1462.  Das Dokument mit der Taufformel wird in der Biblioteca Medicea Laurenziana in Florenz aufbewahrt. Dort entdeckte es der rumänische Historiker Nicolae Iorga im Jahr 1915. ","Pal Engjëlli (Italian Paolo Angeli, * 1416, † 1470) was Archbishop of Durrës. There are hardly any reliable data on the life of Engjëllis. The author of the first biography of the Albanian prince Skanderbeg, Marin Barleti (1450-1512), reports that the archbishop came from a noble family, which was closely connected to the princely house Kastrioti. Engjëlli was said to have been several times for Skanderbeg on diplomatic mission in Italy and in Ragusa, where he campaigned for support against the Ottomans. In 1467 he was ambassador of Skanderbeg in Venice. He has delivered the first sentence written in Albanian. It is the baptism formula (Albanian: Formula e Pagëzimit): Un'te paghesont 'pr'emenit t'Atit e t'Birit e t'Spirit Senit. (= I baptize you in the name of the Father and of the Son and of the Holy Spirit.) The baptismal formula was found in a Latin pastoral letter written by the archbishop after visiting a church in the Mati countryside. The letter is dated November 8, 1462. The baptismal formula is kept in the Biblioteca Medicea Laurenziana in Florence. There it discovered the Romanian historian Nicolae Iorga in 1915.",1
Albania,Durres,"Nicola Barbuti, O.P.",1469,?,,,,
Albania,Durres,Marco Cattaneo,1474,1487,,,,
Albania,Durres,Martino Firmani,1492,1499,,,,
Albania,Durres,Francesco Quirini,1499,1505,,,,
Albania,Durres,"Nicola Foresio, O.E.S.A.",1505,1510,,,,
Albania,Durres,"Gabriele Foschi, O.E.S.A.",1511,1534,,,,
Albania,Durres,Giorgio Stemagu,1535,ca. 1540,,,,
Albania,Durres,"Ludovico Bianchi, O.F.M.Conv.",1540,?,,,,
