bio,country,diocese,from,name,source_link,to
,Romania,Limerick,1140.0,Patrick,http://www.catholic-hierarchy.org/diocese/dlimr.html,
,Romania,Limerick,1400.0,Cornelius O’Dea,http://www.catholic-hierarchy.org/diocese/dlimr.html,1426.0
,Romania,Limerick,1456.0,Thomas Leger,http://www.catholic-hierarchy.org/diocese/dlimr.html,1456.0
,Romania,Limerick,1458.0,William Creagh (Russell),http://www.catholic-hierarchy.org/diocese/dlimr.html,1469.0
,Romania,Limerick,1469.0,Thomas Arthur,http://www.catholic-hierarchy.org/diocese/dlimr.html,1486.0
,Romania,Limerick,1486.0,Richard Stackpolls,http://www.catholic-hierarchy.org/diocese/dlimr.html,1486.0
,Romania,Limerick,1486.0,John Dunowe,http://www.catholic-hierarchy.org/diocese/dlimr.html,1489.0
"He also won the Order of the Karađorđe's Star for service on the Macedonian Front in 1917.He was a private in the 3rd Battalion, Connaught Rangers, British Army during World War I when the following deed took place for which he was awarded the DCM.""For conspicuous gallantry when in command of a trench. Although wounded, he held on to his position after part of the line had been rushed.""The Connacht Tribune in June, 1915 reported",Romania,Limerick,1489.0,John Folan,http://www.catholic-hierarchy.org/diocese/dlimr.html,1521.0
,Romania,Limerick,1524.0,John Sean) Quinn (Coyn),http://www.catholic-hierarchy.org/diocese/dlimr.html,1551.0
,Romania,Limerick,1556.0,Hugh Lacy,http://www.catholic-hierarchy.org/diocese/dlimr.html,1580.0
,Romania,Limerick,1582.0,Cornelius O’Boyle (Obeyl,http://www.catholic-hierarchy.org/diocese/dlimr.html,1591.0
"Arthur was born in Aldershot, Hampshire, England and educated at Dover College.  He received a Master of Arts from the University of St Andrews (1885) and a MB ChB from the University of Edinburgh (1888).  He worked in the slums of Edinburgh, but contracted typhoid fever.  He met and married his wife in Australia in 1890.  He returned to Europe and studied hypnotism in Paris, which earned him an MD from the University of Edinburgh in 1891.[1]  After again becoming ill working in the slums of London, he returned to Australia and established a practice in the Sydney suburb of Mosman, specialising in eye, ear-nose-and-throat, and dental work.  He was a director of the Royal Prince Alfred Hospital from 1917 to 1920 and from 1927 to 1931 and of Sydney Hospital from 1924 to 1932.[2]Arthur was elected in 1904 to the New South Wales Legislative Assembly as member for Middle Harbour, representing the Liberal and Reform Party.  In December 1912, he became the inaugural president of the Eugenics Society of New South Wales.[3] He became an early advocate of child endowment in 1916 and was a strong supporter of closer settlement and assisted immigration to reduce the Japanese threat.  From 1920 to 1927, he represented North Shore.  He was chairman of the 1923 Royal Commission on Lunacy Law and Administration and, as a eugenicist, recommended special training and institutions for ""defectives"".   He represented Mosman from 1927 to 1932 and was Minister for Public Health from 1927 to 1930 during the Bavin Government,[4]  but he failed to carry a mental defectives bill.[2]Arthur died in Mosman and was  survived by his wife, son and two daughters.[2]",Romania,Limerick,1620.0,Richard Arthur,http://www.catholic-hierarchy.org/diocese/dlimr.html,1646.0
,Romania,Limerick,1646.0,Edmund O’Dwyer,http://www.catholic-hierarchy.org/diocese/dlimr.html,1664.0
,Romania,Limerick,1677.0,James Dooley,http://www.catholic-hierarchy.org/diocese/dlimr.html,1684.0
,Romania,Killaloe,1355.0,Tomas Cormachain,http://www.catholic-hierarchy.org/diocese/dkill.html,1382.0
,Romania,Killaloe,1460.0,Thaddeus MacRaith,http://www.catholic-hierarchy.org/diocese/dkill.html,1463.0
,Romania,Killaloe,1463.0,Matthias O’Griffith,http://www.catholic-hierarchy.org/diocese/dkill.html,1483.0
,Romania,Killaloe,1483.0,Thierry O’Brien,http://www.catholic-hierarchy.org/diocese/dkill.html,1526.0
,Romania,Killaloe,1526.0,James O’Curran,http://www.catholic-hierarchy.org/diocese/dkill.html,1542.0
,Romania,Killaloe,1539.0,Florence Kirwan,http://www.catholic-hierarchy.org/diocese/dkill.html,1542.0
,Romania,Killaloe,1542.0,Terence O’Brien,http://www.catholic-hierarchy.org/diocese/dkill.html,1570.0
,Romania,Killaloe,1571.0,Malachy O’Moloney,http://www.catholic-hierarchy.org/diocese/dkill.html,1576.0
,Romania,Killaloe,1576.0,Cornelius Ryan (O’Mulrian),http://www.catholic-hierarchy.org/diocese/dkill.html,1616.0
,Romania,Killaloe,1630.0,John O’Mollony,http://www.catholic-hierarchy.org/diocese/dkill.html,1651.0
,Romania,Killaloe,1671.0,John O’Mollony,http://www.catholic-hierarchy.org/diocese/dkill.html,1689.0
,Romania,Dromore,1287.0,Tigernach,http://www.catholic-hierarchy.org/diocese/ddrom.html,1290.0
,Romania,Dromore,1429.0,Thomas Radcliff,http://www.catholic-hierarchy.org/diocese/ddrom.html,1446.0
,Romania,Dromore,1450.0,Thomas Scrope,http://www.catholic-hierarchy.org/diocese/ddrom.html,1455.0
,Romania,Dromore,1457.0,Richard Messing,http://www.catholic-hierarchy.org/diocese/ddrom.html,1463.0
,Romania,Dromore,1463.0,William Egremont,http://www.catholic-hierarchy.org/diocese/ddrom.html,1501.0
,Romania,Dromore,1476.0,Robert Kirke,http://www.catholic-hierarchy.org/diocese/ddrom.html,1480.0
,Romania,Dromore,1480.0,Yvo Guillen Brito,http://www.catholic-hierarchy.org/diocese/ddrom.html,1483.0
"George Brann (23 April 1865 – 14 June 1954) was an English amateur cricketer and footballer who had a long career with Sussex County Cricket Club at the end of the 19th century, and played three matches for the England national football team.Brann was born in Eastbourne, East Sussex and was educated at Ardingly College, near Haywards Heath, West Sussex, where he spent ten years and represented the school at football.[1]After leaving school he joined the Swifts based in Slough, who in 1890 merged with Slough Albion and Young Men's Friendly Society to form a new club, Slough F.C., who later became Slough Town.Being an amateur, Brann was free to play for more than one club, and he joined the famous amateur club Corinthian in 1885. He made his first appearance for them in a 3–1 defeat against Preston North End on 28 November 1885. In the 1885–86 season he played eight times for Corinthian, in all five forward positions, scoring three goals.[2]",Romania,Dromore,1483.0,George Brann,http://www.catholic-hierarchy.org/diocese/ddrom.html,1499.0
,Romania,Dromore,1511.0,Thaddeus O’Reilly,http://www.catholic-hierarchy.org/diocese/ddrom.html,1526.0
,Romania,Dromore,1536.0,Quintin Cogly,http://www.catholic-hierarchy.org/diocese/ddrom.html,1539.0
,Romania,Dromore,1540.0,Arthur Magennis,http://www.catholic-hierarchy.org/diocese/ddrom.html,1575.0
,Romania,Dromore,1576.0,Patrick Macival,http://www.catholic-hierarchy.org/diocese/ddrom.html,1598.0
