Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Bosnia & Herzegovina,Mostar-Duvno,Malchus,590,597,,,,
Bosnia & Herzegovina,Mostar-Duvno,Ivan de Hoio,1313,,,,,
Bosnia & Herzegovina,Mostar-Duvno,Madije,1337,1345,,,,
Bosnia & Herzegovina,Mostar-Duvno,Ivan,1345,,,,,
Bosnia & Herzegovina,Mostar-Duvno,Guerin,1347,,,,,
Bosnia & Herzegovina,Mostar-Duvno,Stjepan,1355,1371,,,,
Bosnia & Herzegovina,Mostar-Duvno,Petar Telikona,1394,,,,,
Bosnia & Herzegovina,Mostar-Duvno,Juraj I. Georgius I.,1406,1412,,,,
Bosnia & Herzegovina,Mostar-Duvno,Juraj II.,1412,1419,,,,
Bosnia & Herzegovina,Mostar-Duvno,Blaž de Navara Blasiu de Novariena,1419,,,,,
Bosnia & Herzegovina,Mostar-Duvno,Nikola,1426,1433,,,,
Bosnia & Herzegovina,Mostar-Duvno,Hugo Fornetus,1433,1439,,,,
Bosnia & Herzegovina,Mostar-Duvno,Jeronim Trogiranin Tragurio,1439,1459,,,,
Bosnia & Herzegovina,Mostar-Duvno,Nikola II. Nikola Zadranin,1460,1464,,,,
Bosnia & Herzegovina,Mostar-Duvno,Vid de Ruscis,1489,1495,,,,
Bosnia & Herzegovina,Mostar-Duvno,"Tomás de Córdoba, OSA",1507,1540,,,,
Bosnia & Herzegovina,Mostar-Duvno,"Alvaro Salas Sánchez, OSA",1514,1520,,,,
Bosnia & Herzegovina,Mostar-Duvno,Andrija Klement de Turrecremata,1520,,,,,
Bosnia & Herzegovina,Mostar-Duvno,Nikola de Berganicio,1536,1551,,,,
Bosnia & Herzegovina,Mostar-Duvno,"Daniel Vocacio, OFM, auch Weihbischof in Sigüenza Spanien",1551,1575,,,,
Bosnia & Herzegovina,Mostar-Duvno,Daniel Vladimirović Neretvanin ?,1590,,,,,
Bosnia & Herzegovina,Mostar-Duvno,Nikola Ugrinović,1597,1606,,,,
Bosnia & Herzegovina,Mostar-Duvno,"Alfonso de Requesens Fenollet, OFM",1610,1625,,,,
