Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Croatia,Dubrovnik,? ,341,,,,,
Croatia,Dubrovnik,Fabricianus ,530,,,,,
Croatia,Dubrovnik,Paolo ,532,,,,,
Croatia,Dubrovnik,Florenzius ?,,593,,,,
Croatia,Dubrovnik,? ?,,604,,,,
Croatia,Dubrovnik,Johannes I. –661,630,,,,,
Croatia,Dubrovnik,Andreas I. ,721/741,,,,,
Croatia,Dubrovnik,Johannes II. –970,940,,,,,
Croatia,Dubrovnik,Niceforo I.,971, ?,,,,
Croatia,Dubrovnik,Niceforo II.,1010, ?,,,,
Croatia,Dubrovnik,Vitale I. –1047,1022,,,,,
Croatia,Dubrovnik,Tribunius –1063,1057,,,,,
Croatia,Dubrovnik,Vitale –20. März,1074,,,,,
Croatia,Dubrovnik,Pietro –1115,1075,,,,,
Croatia,Dubrovnik,Domenico –1121,1115,,,,,
Croatia,Dubrovnik,Geraldo,1121, ?,,,,
Croatia,Dubrovnik,Andreas II. –1153,1142,,,,,
Croatia,Dubrovnik,Tribunio Micheli –1188,1153,,,,,
