Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Greece,Kefalonia,Benedikt,1207,1228,https://de.wikipedia.org/wiki/Benedikt_von_Kefalonia,"Benedikt von Kefalonia († nach 1239) war von 1207 bis um 1239 der erste lateinische Bischof von Kefalonia.  Er war ein Verwandter des Grafen Maio, der zu jener Zeit die Insel beherrschte. In Benedikts mehr als 37 Jahre währende Amtszeit fällt der Übergang von einem griechischen zu einem lateinischen Episkopat im fränkischen Griechenland, die Neuordnung der Kirche nach dem Vierten Laterankonzil, die wechselnden Zugehörigkeiten der weltlichen Mächte und schließlich die Probleme, die von den oft ungebildeten und skandalträchtigen Geistlichen verursacht wurden, die während der ersten Jahrzehnte nach dem Vierten Kreuzzug herrschten: Benedikt wurde der Simonie, Ignoranz, Nachlässigkeit und sexueller Verfehlungen beschuldigt. ",,
Greece,Kefalonia,Ioannes Georgius,1252,,,,,
Greece,Kefalonia,Palmerius de Gallucio,1252,,,,,
Greece,Kefalonia,Henricus Paduanus,1264,1273,,,,
Greece,Kefalonia,Nerucius oder Rainerius,1340,,,,,
Greece,Kefalonia,Nicolaus,1341,,,,,
Greece,Kefalonia,Emmanuel,1350,,,,,
Greece,Kefalonia,Daniel,1370,,,,,
Greece,Kefalonia,Persevallus de Aleria,1370,1375,,,,
Greece,Kefalonia,Angelus de Cotronio,1375,1383,,,,
Greece,Kefalonia,Princivallus,1385,,,,,
Greece,Kefalonia,Blasius,1385,1396,,,,
Greece,Kefalonia,Petrus Ioannes,1396,1398,,,,
Greece,Kefalonia,Gregorius Nardi,1400,1427,,,,
Greece,Kefalonia,Antonius de Morellis,1427,1430,,,,
Greece,Kefalonia,Domenicus de Pupio,1430,1437,,,,
Greece,Kefalonia,Ioannes,1437,1443,,,,
Greece,Kefalonia,Ioannes Iacobus,1443,,,,,
Greece,Kefalonia,Ioannes de Arcadia oder Ioannes Ungara,1458,1463,,,,
Greece,Kefalonia,Ioannes Antonius Scardemetus,1463,1488,,,,
Greece,Kefalonia,Marcus de Franceschi,1488,1521,,,,
Greece,Kefalonia,Ferdinand de Medici,1521,1550,,,,
Greece,Kefalonia,Ioannes Francescus Commendoni,1555,1560,,,,
Greece,Kefalonia,Ioannes Petrus Delphinus,1560,1574,,,,
Greece,Kefalonia,Paulus de Grasso Bonomien,1574,1588,,,,
Greece,Kefalonia,Domenicus Carlus,1589,1595,,,,
Greece,Kefalonia,Raphael Invitiatus,1597,1611,,,,
Greece,Kefalonia,Marcus Pasqualigus,1611,1624,,,,
Greece,Kefalonia,Ioannes Michael de Varolis,1625,1634,,,,
Greece,Kefalonia,Constantinus de Rubeis,1634,1640,,,,
Greece,Kefalonia,Ioannes de Rubeis,1640,1644,,,,
Greece,Kefalonia,Franciscus Gozzadini,1654,1673,,,,
Greece,Kefalonia,Hyacinthus Maria Conigli,1675,1694,,,,
Greece,Kefalonia,Epiphanius Fanelli,1695,1697,,,,
Greece,Kefalonia,Ioannes Vincentius de Philippis,1698,1718,,,,
Greece,Santorini,"Andrea da Benevento, O.P.",1373, ?,,,,
Greece,Santorini,"Giovanni da Nardò, O.P.",1423, ?,,,,
Greece,Santorini,Giorgio,1430, ?,,,,
Greece,Santorini,"Antonio Maureno, O.S.Io.Hier.",1442, ?,,,,
Greece,Santorini,"Simone di Rodi, O.E.S.A.",1448, ?,,,,
Greece,Santorini,Agostino,1477, ?,,,,
Greece,Santorini,"Stefano, O.F.M.",1494, ?,,,,
Greece,Santorini,Nicola Salina –1502 danach Bischof von Gerapitna,1500,,,,,
Greece,Santorini,Marco,1502, ?,,,,
Greece,Santorini,Eustachio,1506, ?,,,,
Greece,Santorini,Demetrio,1512, ?,,,,
Greece,Santorini,Agennatius López,1516, ?,,,,
Greece,Santorini,"Giacomo da Calatayud, O.E.S.A.",1521, ?,,,,
Greece,Santorini,Rodrigo di Beniambras,1527, ?,,,,
Greece,Santorini,"Benedetto, O.Cist.",1535, ?,,,,
Greece,Santorini,"Dionigi da Avila, O. de M.",1539, ?,,,,
Greece,Santorini,Ludovico de Argentis,1552, ?,,,,
Greece,Santorini,"Marco Lauro, O.P. –1560 danach Bischof von Satriano und Campagna",1555,,,,,
Greece,Santorini,Domenico di Grammatica,1560, ?,,,,
Greece,Santorini,"Bernardo Lauro, O.P. –1583 danach Bischof von Milos",1565,,,,,
Greece,Santorini,"Angelo di Cipro, O.P.",1583, ?,,,,
Greece,Santorini,"Bernardino Lauro, O.P. 2. Mal",1585, ?,,,,
Greece,Santorini,Antonio de Marchi,1588, ?,,,,
Greece,Santorini,"Pietro de Marchi, O.P. –1625 danach Erzbischof von Smirne",1611,,,,,
Greece,Santorini,"Giovanni Maria Galli, O.F.M.",1625, ?,,,,
Greece,Santorini,Andrea Soffiano –1642 danach Bischof von Chios,1630,,,,,
Greece,Santorini,"Gerolamo da Padova, O.F.M. –1666",1642,,,,,
Greece,Santorini,Francesco Santaggi,1668, ?,,,,
Greece,Santorini,Giovanni d'Aviani,1686, ?,,,,
Greece,Santorini,Francesco Crispo –1714,1687,,,,,
Greece,Naxos,Baraco ,451,,,,,
Greece,Naxos,Paul ,536,,,,,
Greece,Naxos,Giorgio ,680,,,,,
Greece,Naxos,Atanasius,431,451,,,,
Greece,Naxos,Theodor ,536,,,,,
Greece,Naxos,Stefan,680,692,,,,
Greece,Naxos,Giorgio,1252,?,,,,
Greece,Naxos,Bernardino danach Bischof von Sorres,1330,1332,,,,
Greece,Naxos,Daniele,1345,,,,,
Greece,Naxos,"Andrea, O.Carm. danach Bischof von Bosa",1349,1356,,,,
Greece,Naxos,"Tommaso, O.F.M.",1357,?,,,,
Greece,Naxos,Stefano,?,1377,,,,
Greece,Naxos,Pantaleo Dioscoro di Nasso,1418,?,,,,
Greece,Naxos,"Leonardo, O.E.S.A.",1446,?,,,,
Greece,Naxos,"Francesco, O.F.M.",1453,?,,,,
Greece,Naxos,Antonio,1458,?,,,,
Greece,Naxos,Nicola,1460,?,,,,
Greece,Naxos,Nicola di Gaeta,1479,?,,,,
Greece,Naxos,"Roberto de Noya, O.P.",1504,1515,,,,
Greece,Naxos,"Paolo Zabarella, O.S.A.",1515,?,,,,
Greece,Naxos,Filippo di Vegis,1519,?,,,,
Greece,Naxos,Giacomo Coppi,1524,1538,,,,
Greece,Naxos,Giuseppe de Montanaris,1538,1540,,,,
Greece,Naxos,"Sebastiano Leccavella, O.P. danach Bischof von Lettere",1542,1562,,,,
Greece,Naxos,"Antonio Giustiniani, O.P. danach Bischof von Lipari",1562,1564,,,,
Greece,Naxos,Francesco Pisani danach Bischof von Chioggia,1564,1569,,,,
Greece,Naxos,Domenico di Grammatica,1579,?,,,,
Greece,Naxos,Dionisio Reudio,1593,?,,,,
Greece,Naxos,Angelo Gozzadini danach Bischof von Civita Castellana,1616,1621,,,,
Greece,Naxos,Marco Antonio Quirino Melisseno Comneno danach Bischof von Crotone,?,1628,,,,
Greece,Naxos,Niceforo Melisseno Comneno danach Bischof von Crotone,?,1628,,,,
Greece,Naxos,Raffaele Schiattini,1625,1648,,,,
Greece,Naxos,Bartolomeo Polla,1659,1691,,,,
Greece,Naxos,"Pietro Martire Giustiniani, O.P. danach Bischof von Tinos",1691,1700,,,,
Greece,Tinos,"Alexander Scutarinus,",1533,1558,,,,
Greece,Tinos,"Marco Grimani,",1559,1594,,,,
Greece,Tinos,"Georgius Perpignani, dann Bischof von Cydonia",1594,"1619,",,,,
Greece,Tinos,"Nicolaus Righi,",1619,1653,,,,
Greece,Tinos,"Mauritii Doria,",1654,1672,,,,
Greece,Tinos,"Angelus Veniero,",1673,1699,,,,
Greece,Athens,Dionysius I.,52,96,https://de.wikipedia.org/wiki/Dionysius_Areopagita,"Die Wikimedia Foundation möchte Diskussionsseiten für alle zugänglich machen, um die Tiefe, die Qualität und den Zustand der Wikis zu verbessern.Wir laden alle dazu ein, an der Diskussion teilzunehmen, um gemeinsam herauszufinden wie wir dieses Ziel erreichen können. Mach auch du mit! Dionysius Areopagita (griechisch Διονύσιος ὁ Ἀρεοπαγίτης; * und † um das erste Jahrhundert n. Chr.) ist der Name eines von Paulus in Athen bekehrten Beisitzers des Areopags. Er wurde später der erste Bischof von Athen.  Die Bekehrung durch Paulus ist in Apg 17,34 ELB überliefert. Vom Bischofsamt des Dionysius berichtet Eusebius von Cäsarea (Historia Ecclesiae 3,4). Der Name seiner Frau lautete Dammris.[1]  Ein um das Jahr 500 wirkender anonymer Philosoph und Theologe nahm den Namen und die Identität des Athener Areopagiten für sich in Anspruch. Er wird meist als Pseudo-Dionysius Areopagita bezeichnet.  Im Mittelalter wurde, im Anschluss an Hilduin von Saint-Denis, auch Dionysius von Paris (3. Jahrhundert) mit dem Athener Bischof gleichgesetzt.  Die katholische und die orthodoxen Kirchen feiern seinen Gedenktag am 3. Oktober.[2] ",,
Greece,Athens,Publius,,,https://de.wikipedia.org/wiki/Publius_(Heiliger),"Publius (maltes.: Publju) († um 112 auf Malta oder 125 in Athen) war der Legende zufolge erster Bischof von Malta. Seine historische Existenz ist nicht gesichert.  Das Christentum auf Malta lässt sich erst ab dem 4. Jahrhundert sicher nachweisen. Die Überlieferung sieht allerdings eine kontinuierliche Tradition, die bis zum Schiffbruch des Apostels Paulus auf Malta zurückreicht, der in der Apostelgeschichte beschrieben ist. Darin ist auch von einem Präfekten Publius die Rede, dessen Vater Paulus von Fieber und Ruhr geheilt habe (Apg 28,7 EU). Eine andere Überlieferung sieht in Publius einen Bischof von Athen, der unter Kaiser Trajan im Jahr 125 das Martyrium erlitten habe.[1]  Drei katholische Kirchen auf Malta sind dem heiligen Publius geweiht, der im ganzen Inselstaat verehrt wird: Floriana, L-Għarb und Ir-Rabat.  Der Gedenktag des Heiligen ist der 21. Januar. ",,
Greece,Athens,Quadratus,,,https://de.wikipedia.org/wiki/Quadratus_von_Athen,"Quadratus (altgriechisch Κοδρᾶτος .mw-parser-output .Latn{font-family:""Akzidenz Grotesk"",""Arial"",""Avant Garde Gothic"",""Calibri"",""Futura"",""Geneva"",""Gill Sans"",""Helvetica"",""Lucida Grande"",""Lucida Sans Unicode"",""Lucida Grande"",""Stone Sans"",""Tahoma"",""Trebuchet"",""Univers"",""Verdana""}Kodrâtos bzw. Kodratus) († um 130 in Athen) war ein Bischof von Athen und Apologet. Der Christliche Orient rechnet ihn zu den Siebzig Jüngern.  Quadratus von Athen gilt als erster christlicher Apologet. Eusebius von Caesarea zählt ihn zu den Schülern der Apostel, insbesondere von Paulus und Johannes. Aufgrund seines Alters kann er unter die apostolischen Väter gezählt werden. Quadratus kannte angeblich noch einige, die von Christus selbst geheilt wurden. Bischof Dionysios von Korinth, der 171 starb, berichtet, dass Quadratus das Bischofsamt von Athen nach dem Märtyrertod seines Vorgängers, des Heiligen Publius, übernommen habe. Als Kaiser Hadrian Athen oder Kleinasien in den 120er Jahren einen Besuch abstattete, habe Quadratus, so berichtet Eusebius, dem Kaiser eine Verteidigungsschrift übergeben, in der er das Christentum rechtfertigte und darauf hinwies, er selbst könne bezeugen, dass er einigen von denen, die Jesus geheilt oder von den Toten erweckt habe, noch persönlich begegnet sei.   Lange ging man einhellig davon aus, dass die Verteidigungsschrift selbst (bis auf die von Eusebius zitierte Passage) nicht mehr erhalten ist. In neuerer Zeit aber haben P. Andriessen[1] und W. Holmes[2] die These vertreten, Quadratus’ Apologie könnte mit dem Diognetbrief identisch sein, obwohl das einzige durch Eusebius bekannte Zitat darin nicht vorkommt.  Quadratus starb um 130. Er soll eine Steinigung überlebt haben, aber dann im Gefängnis gestorben sein. Als Bischof folgte ihm Leonidas im Amt. Quadratus wird als Heiliger verehrt. Sein Gedenktag ist der 26. Mai in der katholischen und der 22. September in der orthodoxen Kirche. ",,
Greece,Athens,Pistus,325,,,,,
Greece,Athens,Modestus,431?,,,,,
Greece,Athens,Athanasius I.,451?,458,,,,
Greece,Athens,Anatolius,459,,,,,
Greece,Athens,Johann II.,680,,,,,
Greece,Athens,Contias,694,,,,,
Greece,Athens,Theocharistus,702,,,,,
Greece,Athens,Marinus,704,,,,,
Greece,Athens,Johann III.,714,,,,,
Greece,Athens,Gregor I.,780,,,,,
Greece,Athens,Adamantius,810,,,,,
Greece,Athens,Johann IV.,819,,,,,
Greece,Athens,Germanus I. bis Erzbischof,841,,,,,
Greece,Athens,Demetrius II. bis,846/857,,,,,
Greece,Athens,Gabriel I. bis,858/860,,,,,
Greece,Athens,Nicetas I.,|869/870,881?,,,,
Greece,Athens,Sabbas I.,881,,,,,
Greece,Athens,Anastasius bis,889,,,,,
Greece,Athens,Sabbas II. bis,914,,,,,
Greece,Athens,Georg I. bis,922,,,,,
Greece,Athens,Nicetas II. bis,927,,,,,
Greece,Athens,Konstantin bis,965?,,,,,
Greece,Athens,Philipp bis,981,,,,,
Greece,Athens,Theodegius,1007,,,,,
Greece,Athens,Michael I.,1030,,,,,
Greece,Athens,Leo I. bis,1061,,,,,
