Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Hungary,Veszprem,Stefan I.,1000,,,,,
Hungary,Veszprem,Benetha Benedikt I.,1046,,,,,
Hungary,Veszprem,Andreas,1058,,,,,
Hungary,Veszprem,Kozma,1068,1091,,,,
Hungary,Veszprem,Almarius,1091,1093,,,,
Hungary,Veszprem,Matthias,1113,,,,,
Hungary,Veszprem,Nana,1131,,,,,
Hungary,Veszprem,Martyrius,1135,,,,,
Hungary,Veszprem,Peter I.,1135,1138,,,,
Hungary,Veszprem,Paul I.,1142,1143,,,,
Hungary,Veszprem,Peter II.,1156,,,,,
Hungary,Veszprem,Johannes I.,1164,,,,,
Hungary,Veszprem,Benedikt II.,1171,,,,,
Hungary,Veszprem,Johannes II.,1181,1199,,,,
Hungary,Veszprem,Kalenda Kalanda,1199,1209,,,,
Hungary,Veszprem,Robert,1209,1226,,,,
Hungary,Veszprem,Bertalan,1226,1244,,,,
Hungary,Veszprem,Zlaudus,1244,1262,,,,
Hungary,Veszprem,Pál Széchy,1263,1275,,,,
Hungary,Veszprem,Benedikt III.,1289,1311,,,,
Hungary,Veszprem,Stefan II.,1311,1322,,,,
Hungary,Veszprem,Heinrich,1323,1333,,,,
Hungary,Veszprem,Mieszko von Beuthen,1334,1344,https://de.wikipedia.org/wiki/Mieszko_(Beuthen),"Mieszko von Beuthen (auch Mestko/Mesko von Beuthen; polnisch Mieszko bytomski; tschechisch Měšek Bytomsko-Koselský ; * 1295/1300; † 1344 in Veszprém) war Herzog von Beuthen. 1328–1334 war er Bischof von Neutra und 1334–1344 Bischof von Veszprém sowie Prior der ungarischen Johanniterprovinz. Zudem war er Kanzler der ungarischen Königin Elisabeth. Er entstammte dem Beuthener Zweig der Schlesischen Piasten.  Mieszko war der jüngste Sohn des Beuthener Herzogs Kasimir II. und der Helena, deren Herkunft nicht bekannt ist. Sie bestimmten ihn für die geistliche Laufbahn. Nach dem Tod seines Vaters 1312 behielten seine älteren Brüder die Besitzungen, die  ihnen noch zu seinen Lebzeiten des Vaters übertragen wurden: Boleslaus war Herzog  von Tost, Wladislaus war Herzog von Cosel, später auch von Beuthen und Ziemowit war zunächst Herzog von Beuthen und ab 1337 Herzog von Gleiwitz. Mieszko, der wahrscheinlich das Herzogtum Sewerien bekam, war bereits 1313 Mitglied des Johanniterordens und wurde zwei Jahre später Prior der ungarischen Johanniterprovinz.  Da Mieszkos Schwester Maria mit dem ungarischen König Karl I. Robert verheiratet war, unterhielten auch ihre Brüder gute Beziehungen zum ungarischen Königshof, mit dem sie auch nach Marias Tod 1317 verbunden blieben. Mieszkos Bruder Boleslaus lebte vermutlich seit 1315 am ungarischen Königshof und wurde 1321 zum Erzbischof von Gran ernannt. Kurz vor seinem Tod 1328 gelang es ihm, Mieszko auf den Bischofsstuhl von Neutra durchzusetzen, obwohl das dortige Domkapitel dagegen war. Vermutlich im selben Jahr verzichtete Mieszko auf das Amt des Johanniterpriors sowie zugunsten seines Bruders Wladislaus auf das Herzogtum Sewerien. Da der Widerstand des Neutraer Domkapitels gegen ihn auch in den nachfolgenden Jahren anhielt, gelangte er auf Empfehlung der ungarischen Königin Elisabeth 1334 auf den Bischofsstuhl von Veszprém. Im selben Jahr wurde er zum Kanzler der Königin Elisabeth ernannt. 1342 nahm er an der Krönung des ungarischen Königs Ludwig I. teil. Sein Leichnam wurde in der Kathedrale von Veszprém beigesetzt. ",,
Hungary,Veszprem,Stefan III.,1344,1345,,,,
Hungary,Veszprem,Carceribus de Galhardus,1345,1346,,,,
Hungary,Veszprem,János Gara,1346,1357,,,,
Hungary,Veszprem,Ladislaus I.,1358,1372,,,,
Hungary,Veszprem,László Déméndi,1372,1377,,,,
Hungary,Veszprem,Peter IV.,1377,1378,,,,
Hungary,Veszprem,Benedek Himházi,1379,1387,,,,
Hungary,Veszprem,Demeter,1387,1392,,,,
Hungary,Veszprem,Maternus,1392,1395,,,,
Hungary,Veszprem,Mihály Hédervári,1399,1402,,,,
Hungary,Veszprem,Georg I.,1403,1404,,,,
Hungary,Veszprem,Johannes Albeni,1407,1410,,,,
Hungary,Veszprem,Sándor,1411,,,,,
Hungary,Veszprem,Branda Castiglione Kardinaladministrator,1412,1424,https://de.wikipedia.org/wiki/Branda_Castiglione,"Branda Castiglione, manchmal auch Castiglioni, (* vor 1360 in Mailand; † 3. Februar 1443 in Castiglione Olona) war ein italienischer Humanist, Kardinal und päpstlicher Legat, der in der ersten Hälfte des 15. Jahrhunderts in weiten Teilen Europas tätig war. Er zeichnete sich durch humanistische Gelehrsamkeit, Redegabe, diplomatisches Geschick und kirchlichen Reformeifer aus; zugleich tat er sich als Freund und Mäzen von Wissenschaft und Kunst hervor.  Er studierte in Pavia Zivil- und Kirchenrecht und schloss seine Studien mit dem Doktor beider Rechte ab. Seine religiöse Entwicklung wurde durch die böhmische Devotio moderna beeinflusst, als in den neunziger Jahren führende Vertreter dieser Reformrichtung nach Italien kamen; hierbei lernte er wohl auch Gedanken des Reformpredigers Konrad von Waldhausen (1325–1369) kennen.  Seit 1389 kam er in diplomatischer Mission im Auftrag von Gian Galeazzo Visconti mit dem Papst in Kontakt. 1404 wurde er Bischof von Piacenza, 1409 allerdings von Gregor XII. abgesetzt. 1412 wurde er Bischof und Graf von Veszprém (Weißenbrunn/Ungarn). Seit 1411 Kardinalpriester von San Clemente, war er päpstlicher Legat in Ungarn (seit 1410) und in Germanien (ab 1413). Im Gefolge König Sigismunds reiste er viel in Deutschland, Ungarn und Polen. Er nahm auch an den Konzilien von Pisa (1409), Konstanz (1414–1418) und Basel (1431–1445) teil. Dabei ging es ihm immer wieder um die Einheit der Christenheit, sowohl in Hinblick auf das päpstliche Schisma als auch auf die Ostkirche. Er war die treibende Kraft hinter den Kreuzzügen gegen die Hussiten und ernannte Nikolaus von Dinkelsbühl 1421 zum offiziellen Hussitenkreuzzugs-Prediger. 1421 zum Reformator generalis für ganz Deutschland ernannt, erstrebte er eine Reform des Klerus und der religiösen Lebensführung. Kardinal Branda entwarf Reformstatuten, die Grundlage für Kirchen- und Klosterreformen sein konnten (wie sie dann etwa im Kloster Pillenreuth realisiert wurden).   Im Alter von über 70 Jahren  begann er 1423 mit einer regen Bautätigkeit in seinem Heimatort Castiglione, wozu er bedeutende Künstler heranzog. Castiglione ist bis heute davon geprägt. Zugleich engagierte er sich für Bildung sowie soziale Förderung durch Gründung des Collegio Branda an der Universität Pavia und durch die Errichtung von Schulen und Armenhilfen in seinem Heimatort. Am 14. März 1431 wurde er zum Kardinalbischof des suburbikarischen Bistums Porto-Santa Rufina ernannt. Im Jahr 1433 saß er einem Partikularkonzil vor, das der Herzog von Mailand einberufen hatte. Am 29. Januar 1440 wechselte er auf den suburbikarischen Bischofssitz von Sabina, den er bis zu seinem Tode innehatte.  Kardinal Branda starb 1443 hochbetagt und wurde in der Kirche von Castiglione beigesetzt, wo sein Grabmal überdauert hat. ",,
Hungary,Veszprem,Péter Rozgonyi,1424,1425,,,,
Hungary,Veszprem,János Uski,1426,1428,,,,
Hungary,Veszprem,Simon Rozgonyi,1428,1439,,,,
Hungary,Veszprem,János De Dominis,1440,,,,,
Hungary,Veszprem,Mátyás Gatalóczi,1440,1457,,,,
Hungary,Veszprem,Albert Vetési,1458,1486,,,,
Hungary,Veszprem,Johann Vitéz davor Bischof von Sirmium,1489,1499,,,,
Hungary,Veszprem,Georg Szakmary György Szatmári,1499,1501,,,,
Hungary,Veszprem,Gergely Frangepán,1502,1503,,,,
Hungary,Veszprem,Péter Kardinal Isvalies,1503,1511,,,,
Hungary,Veszprem,Péter Beriszló,1512,1520,,,,
Hungary,Veszprem,Pál Pavol Várdai auch Bischof von Eger,1520,1524,,,,
Hungary,Veszprem,Tamás Zalaházi,1524,1528,,,,
Hungary,Veszprem,Márton Kecset,1528,1549,,,,
Hungary,Veszprem,Pál Bornemissza,1549,1553,,,,
Hungary,Veszprem,András Köves,1553,1568,,,,
Hungary,Veszprem,János Liszti,1568,1572,,,,
Hungary,Veszprem,István Fejérkövi,1572,1587,,,,
Hungary,Veszprem,Ferenc Forgách,1587,1596,,,,
