Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Iceland,Skalholt,Ísleifur Gissurarson,1056,1080,https://de.wikipedia.org/wiki/%C3%8Dsleifur_Gissurarson,"Ísleifur Gissurarson (* 1006; † 5. Juli 1080) war der erste Bischof von Island und Grönland.  Im Jahr 1000 übernahm die damalige Republik Island das Christentum per Parlamentsbeschluss als Staatsreligion. Die Christianisierung war durch die mitgebrachten irischen Sklaven und deren Einfluss eingeleitet und durch die Aussendung von Missionaren im 10. Jahrhundert verstärkt worden.  Ísleifur Gissurarson, der Sohn von Þórdís Þóroddsdóttir und Gissur Teitsson aus dem Mosfellingar-Clan erhielt seine kirchliche Ausbildung im ostwestfälischen Herford und wurde 1056 vom Bremer Erzbischof Adalbert zum ersten Bischof von Island und Grönland geweiht.[1]  Er ließ sich auf dem südisländischen Gut Skálholt nieder, wo seine Familie Grund besaß, und gründete dort auch die erste isländische Schule. Gleichzeitig übernahm er auch das Godentum von seinem Vater.  Seine Ehefrau war Dalla Þorvaldsdóttir. Mit dieser hatte er drei Söhne, Þorvaldur, Teitur und Gissur, welcher nach dem Tod seines Vaters das Bischofsamt übernahm. Einer seiner Schüler war Jón Ögmundarson, der später als Bischof von Hólar wirkte.  Als Ísleifur am 5. Juli 1080 in Skálholt starb, hatte er dort 24 Jahre lang den Bischofsstuhl innegehabt.[2]  Sein Sohn Gissur Ísleifsson folgte ihm im Amte nach. ",,
Iceland,Skalholt,Gissur Ísleifsson,1082,1118,https://de.wikipedia.org/wiki/Gissur_%C3%8Dsleifsson,"Gissur Ísleifsson (* 1042; † 1118) war, nach der Übernahme des Christentums durch die Isländer im Jahre 1000, der zweite Bischof von Island. Ab 1106 war er Bischof in der Diözese von Skálholt im Süden der Insel. In diesem Jahr hatte man die nordisländische Diözese Hólar begründet.  Gissur wird als groß, stark und gutmütig beschrieben.[1]  Der Vater von Gissur war Ísleifur Gissurarson, Bischof von Island.  Wie dieser studierte Gissur in Sachsen im Stift Herford und wurde dort noch in jungen Jahren zum Priester geweiht.[2]  Nachdem er von dort heimgekehrt war, heiratete er Steinunn Þorgrímsdóttir (ca. 1042 – nach 1118), die in erster Ehe mit Þórir Skegg-Broddason von Hof im Vopnafjörður verheiratet gewesen war. Dort lebte das Ehepaar auch zunächst.  Das Ehepaar reiste viel, unternahm unter anderem Pilgerfahrten nach Rom. Als sein Vater, der Bischof Isleifur Gissurason, im Jahre 1080 starb, weilte Gissur im Ausland, reiste jedoch im Sommer darauf nach Island und wurde zum Bischof gewählt.  Die Bischofsweihe gelang jedoch erst nach einigen Irrfahrten.  Gissur fuhr zunächst ins Sachsenland, denn eigentlich hätte der zuständige Erzbischof von Bremen ihn weihen sollen. Dieser war da jedoch gerade seines Amtes enthoben worden. Gissur setzte seine Reise daraufhin in Richtung Rom fort. Der Papst Gregor VII. sandte ihn nach einer Begegnung nach Magdeburg und dort wurde er von Erzbischof Hartwig 1082 schließlich zum Bischof von Island geweiht.[3]  Als er nach Island zurückkam, ließ er sich wie sein Vater in Skálholt nieder und nach dem Tode seiner Mutter schenkte er den Grundbesitz der Kirche.[4]  Gissur war der strengste Befürworter der Aufnahme des Kirchenzehnten in Island und bewirkte, dass dies vom Parlament im Jahre 1097 abgesegnet wurde. Er verfügte zu dem Zweck auch die erste Volkszählung in Island.[5]  Gissur starb 1118 in Skálholt, nachdem er 36 Jahre lang als Bischof gewirkt hatte.[6]  Er hatte einige Kinder. Seine Tochter Gróa heiratete Ketill Þorsteinsson, Bischof von Hólar. ",,
Iceland,Skalholt,Þorlákur Runólfsson,1118,1133,https://de.wikipedia.org/wiki/%C3%9Eorl%C3%A1kur_Run%C3%B3lfsson,"Þorlákur Runólfsson (* 1086; † 1133 in Skálholt) war ein Bischof von Skálholt in Südisland.  Er übte das Bischofsamt von 1118 bis zu seinem Tode aus.  Seine Mutter war Tochter des Snorri Þorfinnsson aus Glaumbær im Skagafjörður. Er selbst war somit ein Urenkel der legendären Grönland- und Amerikareisenden Þorfinnur Karlsefni Þórðarson und Guðríður Þorbjarnardóttir.  Er wurde in der damals berühmten Schule des Pfarrhofs im Haukadalur ausgebildet. Der Skálholter Bischof Gissur Ísleifsson wählte ihn als seinen Nachfolger. Þorlákur wollte dies zunächst nicht, unter anderem fühlte er sich noch nicht reif genug, schließlich gab er aber nach und wurde am 28. April 1118 in Lund in Schweden geweiht.[1]  Gemeinsam mit Ketill Þorsteinsson, Bischof von Hólar, stand er für die Einführung des Kirchenrechts in Island.  Wie seine Vorgänger unterhielt er in Skálholt eine Schule.  Er starb 1133 in Skálholt. ",,
Iceland,Skalholt,Magnús Einarsson,1134,1148,https://de.wikipedia.org/wiki/Magn%C3%BAs_Einarsson,"Magnús Einarsson (* 1098; † 30. September 1148) war ein Bischof von Skálholt im Süden Islands.  Er wurde nach dem Tode von Þorlákur Runólfsson 1133 gewählt und am 28. Oktober 1134 von Össur, dem Erzbischof von Lund in Schweden geweiht.  Unter seiner Ägide blühte Skálholt auf. Er häufte Vermögen an und kaufte große Güter hinzu, darunter die gesamten Westmännerinseln.  Als er im Jahre 1148 von einer Fahrt in die Vestfirðir zurückkam, machte er einen Zwischenstopp im Hítardalur, um an einem Fest teilzunehmen. Dabei geriet er in einen Großbrand, bei dem zwischen 70 und 80 Menschen starben, und kam ebenfalls ums Leben.[1] ",,
Iceland,Skalholt,Klængur Þorsteinsson,1152,1176,https://de.wikipedia.org/wiki/Kl%C3%A6ngur_%C3%9Eorsteinsson,"Klængur Þorsteinsson (deutsch Klangur Thorsteinsson) (* 1102; † 28. Februar 1176) war Bischof von Skálholt im Süden von Island.  Der Bischof stammte aus einer der renommiertesten Familien Islands, der Reyknesingar-Familie. Seine Mutter war auf dem reichen Hof Reykhólar am Breiðafjörður geboren.[1]  Eigentlich war nach dem plötzlichen Tod von Magnús Einarsson ein gewisser Hallur Teitsson zum nächsten Bischof auf diesem Bischofssitz gewählt worden. Er war aber 1150 in Holland verstorben.  Daraufhin wurde Klængur Þorsteinsson gewählt. Er stammte aus dem Norden von Island und war Priester auf dem renommierten Hof und Bischofssitz Hólar í Hjaltadal gewesen.  Am 6. April 1152 wurde er von Áskel, dem Erzbischof von Lund in Schweden am Ort des Erzbischofssitzes zum Bischof von Skálholt geweiht.  Bekannt war Bischof Klængur für seine Gelehrsamkeit und seine Begabung als Dichter.  Aber Berühmtheit erlangte er durch die riesige Kirche, die er nach seiner Weihe in Skálholt errichten ließ. Wie man heute weiß, handelte es sich um eine Stabkirche in norwegischem Stil. Deren Holz wurde auf zwei Schiffen aus Norwegen importiert. Sie wurde erst nach dem Tode von Bischof Klængur vollendet. Ihre Maße waren: 48,5 m in der Länge, 22 m in der Breite und 13,5 m in der Höhe.[2] Diese Kirche galt lange als das bedeutendste Gebäude in Island, bis sie 1309 infolge eines Blitzschlags niederbrannte.  Schließlich gilt er auch als Begründer von Þykkvabæjarklaustur und dem Kloster Flatey (das später auf den Helgafell bei Stykkishólmur verlegt wurde).  Als Nachfolger erwählte er selbst Þorlákur Þórhallsson. ",,
Iceland,Skalholt,Þorlákur Þórhallsson,1178,1193,https://de.wikipedia.org/wiki/%C3%9Eorl%C3%A1kur_%C3%9E%C3%B3rhallsson,"Þorlákur Þórhallsson (deutsch Thorlak Thorhallson) (* 1133 in Fljótshlíð; † 23. Dezember 1193) war ein Bischof auf dem isländischen Bischofssitz in Skálholt.  Þorlákur Þórhallsson war der Sohn von Þórhall Þorláksson in Hliðarendi, Fljótshlíð, und dessen Frau Halla Steinadóttir.  Seine Ausbildung erhielt er bei einem Priester in Oddi in Rangárvellir. 1152 wurde er zum Priester geweiht. Vermutlich ging er eine Ehe ein.[1] Er studierte vermutlich von 1153 bis 1159 an der Schule St. Victor in Paris sowie am augustinischen Domkapitel in Lincoln.[2]  Nach seiner Rückkehr soll er sich für das monastische Leben entschieden und seine Ehe gelöst haben.[3] Er lebte für sechs Jahre als Lehrer in Kirkjubær (Südisland).  Um 1168 gründete er mit Bischof Klængur Þorsteinsson (Klongr Thorsteinsson) von Skálholt das erste augustinische Kloster in Island in Þykkvabæjarklaustur. Er leitete es zunächst als Prior, von etwa 1171 an als Abt.  1176 wurde er, von Klængur dazu ausersehen, Bischof von Skálholt. Am 1. Juli 1178 wurde er von Erzbischof Øystein Erlendsson in Nidaros (Trondheim) geweiht und nahm sein Amt bis zu seinem Tode wahr.  In Thorlaks Amtszeit wurde 1186 das Benediktinerinnenkloster in Kirkjubær (Kirkjubæjarklaustur) gegründet. Er erließ Vorschriften über die Fastenzeiten und reformierte die Kirche. Vor allem wandte er sich gegen die Sittenlosigkeit und die Gewohnheit einflussreicher Herren, sich Zweitfrauen (Kebsen) zu halten.  Im Sommer 1179 reiste er durch sein Bistum und bewog viele Bauern an den Ostfjorden dazu, ihre Höfe der Kirche zu übereignen und diese anschließend von der Kirche als Lehen zu empfangen. Der Vorteil für die Bauern lag darin, dass sie mit der Übergabe ihrer Höfe an die Kirche bei fortdauerndem Besitz diese vor dem Zugriff eines Goden oder eines anderen Mächtigen schützen konnten.  Nach seiner Rückkehr geriet er in heftigen Streit mit dem Goden Jón Loftsson in Oddi, einem der mächtigsten Männer des Landes, über die Oberhoheit über das Kirchengut, das nach dem traditionellen Eigenkirchenwesen dem Eigenkirchenherrn gehörte.  Es handelte sich hier um eine Spiegelung des gleichzeitig zwischen Kaiser und Papst schwelenden Investiturstreits.[4]  Sein Nachfolger Páll Jónsson ließ seine Gebeine am 20. Juli 1198 auf den Altar erheben (Translatio). Eine päpstliche Bestätigung wurde zunächst nicht eingeholt.[5]  Sein Todestag, der 23. Dezember, wurde im Jahr danach auf dem Althing zu seinem Feiertag erklärt. Bischof Páll ließ einen Schrein für die Leiche erstellen, der auf den Hochaltar von Skálholt gesetzt wurde. Der Schrein bestand aus Gold, Silber und Edelsteinen.  Sein „Grab wurde zu Islands wichtigstem Wallfahrtsort, seine Person stand programmatisch für die Freiheit der Kirche von laikalem Einfluß; die Thorlak-Verehrung erhielt zusätzl[ich] eine nationale Note, als Island 1262 sich dem norwegischen Königtum unterwerfen mußte.“[6].  1237 wurde auch der 20. Juli als der Tag der Translatio zum Feiertag erklärt. Ihm wurden 56 Kirchen in Island geweiht.  Am 14. Januar 1984 bestätigte ihn Papst Johannes Paul II. als Schutzheiligen Islands.  Am 23. Dezember feiert man zur Erinnerung an ihn in Island die Þorláksmessa (Thorlaksmesse), sowie in Norwegen, auf den Färöern  wo er ebenso verehrt wurde und seit dem 18. Jahrhundert auch in Schweden, u. a. auch Torlaksmesse, Tollesmesse, Sjursmesse oder Lilla julafton genannt. ",,
Iceland,Skalholt,Páll Jónsson,1195,1211,https://de.wikipedia.org/wiki/P%C3%A1ll_J%C3%B3nsson_(Bischof),"Páll Jónsson (* 1155; † 29. November 1211) war Bischof von Skálholt im Süden Islands.  Er war ein uneheliches Kind des einflussreichen Goden Jón Loftsson und wuchs zusammen mit dessen Ziehsohn Snorri Sturluson in Oddi auf. Später setzte er seine Studien in England fort und wurde anschließend Bauer auf dem Hof Skarð im Bezirk Landsveit in Südisland.  Im Jahre 1195 wurde er zum Bischof von Skálholt geweiht. Berühmtheit erlangte er vor allem als Ästhet, der sowohl die dortige Kirche ausschmücken, als auch Kostbarkeiten für sich und als Geschenke für einflussreiche Freunde anfertigen ließ.  Unter diesen Kunstwerken war auch ein kunstvoll verzierter Steinsarkophag, eine damals unerhörte Kostbarkeit in Island.  Als sehr gebildeter Mensch beauftragte er die Anfertigung von Manuskripten.  Schließlich veranlasste er die Heiligsprechung seiner Vorgänger im Amte Þorlákur Þórhallsson, Bischof von Skálholt, und Jón helgi, Bischof von Hólar in Nordisland.  Lange hatte man die Geschichte des Sarkophags für eine Sage gehalten. Aber als man im August 1954 im Friedhof von Skálholt Ausgrabungen durchführte, fand man tatsächlich einen solchen. Man nahm an, es sei der des Bischofs Páll, da man nie von einer anderen Person in Island gehört hatte, die sich in einem Sarkophag hätte begraben lassen.  Als er am 30. August 1954 geöffnet wurde, fand man in ihm das Skelett eines Mannes (des Bischofs?) und Reste eines Bischofsstabes.[1]  Den Sarkophag kann man in der Krypta der heutigen Domkirche von Skálholt besichtigen.[2]   ",,
Iceland,Skalholt,Magnús Gissurarson,1216,1237,https://de.wikipedia.org/wiki/Magn%C3%BAs_Gissurarson,"Magnús Gissurarson († 14. August 1237) war ab 1216 Bischof von Skálholt im Süden Islands.  Gissurarson gehörte zu einem der mächtigen Geschlechter, die in die Bürgerkriege des 13. Jahrhunderts verwickelt waren, zum Geschlecht der Haukdælir. Sein Vater war Gissur Hallsson, sein Bruder Þorvaldur Gissurarson. Magnús wuchs als Ziehsohn von Þorlákur Þórhallsson, dem später heiliggesprochenen Bischof von Skálholt auf.  Er wurde zunächst als potentieller Bischof von Hólar genannt. Gewählt wurde schließlich sein Gegenkandidat Guðmundur Arason.  Im Jahre 1214 wurde sein Neffe Teitur Bersason zum Bischof von Skálholt gewählt. Er starb jedoch, bevor er geweiht werden konnte, so wurde Magnús an seiner Stelle gewählt.  Magnús Gissurarson hatte zwei Söhne, Hjalti Magnússon und Gissur Magnússon. ",,
Iceland,Skalholt,Sigvarður Þéttmarsson Norweger,1238,1268,https://de.wikipedia.org/wiki/Sigvar%C3%B0ur_%C3%9E%C3%A9ttmarsson,"Sigvarður Þéttmarsson († 1268) war ab 1238 Bischof von Skálholt im Süden von Island.  Sigvarður Þéttmarsson stammte aus Norwegen. Dort war er zunächst Abt in Selje (heutige Provinz Sogn og Fjordane) gewesen.  Er war der erste einer Reihe von Bischöfen ausländischer Abstammung auf isländischen Bischofsstühlen. Dies hing nicht zuletzt mit der veränderten politischen Lage in Island zusammen. Befand sich das Land doch im 13. Jahrhundert in einem bürgerkriegsähnlichen Zustand, und die Könige von Norwegen trachteten danach, es in ihre Gewalt zu bekommen.  Nachdem beide isländischen Bischofsstühle etwa zur selben Zeit verwaist waren, hatten die Isländer nach ihrer Sitte im Parlament neue Bischöfe gewählt und sie zum für die Weihe zuständigen Erzbischof nach Nidaros in Norwegen gesandt. Jedoch wurde keiner dieser Männer zum Bischof geweiht. Der norwegische König Håkon der Alte wollte seinen Einfluss in Island erhöhen und bewegte infolgedessen den Erzbischof dazu, beide Bischofsstühle mit ihm genehmen Norwegern zu besetzen.  Sigvarður trat sein Amt als Bischof von Skálholt 1238 an.  Er wurde prompt in diverse Auseinandersetzungen der Sturlungen-Zeit verwickelt. Berühmtheit erlangte der Vorfall, als sich Kämpfe zwischen Órækja Snorrason, der den Tod seines Vaters Snorri Sturluson rächen wollte, und Gissur Þorvaldsson, der sich nach Skálholt geflüchtet hatte, bis in Kirche und Vorgarten des Bischofs hineinzogen und der Bischof dieses Treiben dadurch stoppte, dass er in vollem Ornat auf der Schwelle erschien und den Kirchenbann über Órækja Snorrason verhängte. Gissur Þorvaldsson hatte 1241 die Männer angeführt, die auf Befehl des norwegischen Königs Snorri Sturluson getötet hatten.[1]  In den Jahren 1250 bis 1254 weilte der Bischof im Ausland und Brandur Jónsson vertrat ihn im Amte.  Als 1267 mit Jörundur Þorsteinsson ein neuer Bischof von Hólar gewählt wurde, wurde dieser kurzfristig als Bischof über ganz Island bestimmt, weil Sigvarður zu hinfällig geworden war, um seinem Amt nachgehen zu können.  Árni Þorláksson wurde nun nach Skálholt entsandt, um die Amtsgeschäfte in Vertretung zu übernehmen, und nach dem Tode von Sigvarður im nächsten Jahr übernahm er den Bischofsstuhl. ",,
Iceland,Skalholt,Árni Þorláksson,1269,1298,https://de.wikipedia.org/wiki/%C3%81rni_%C3%9Eorl%C3%A1ksson,"Árni Þorláksson (* 1237; † 17. April 1298 in Bergen) war von 1269[1]–1298 isländischer Bischof in Skálholt.  Er stammte aus einer der mächtigsten Familien des Landes. Seine Eltern waren Þorlákur Guðmundsson grís und Halldóra Ormsdóttir. Er war über seinen Großvater Guðmundur grís versippt mit den mächtigen Clans der Svínfellinga, den Häuptlingen aus Haukadal, Hítadal und den Skarðverja. Über seine Mutter zählte Sæmundur fróði zu seinen Vorfahren.[2]  Er beteiligte sich an der Neufassung des isländischen Rechts nach dem Anschluss Islands an Norwegen im Jahre 1262. Er verfasste mit Erzbischof Jon Raude ein neues Christenrecht, das 1275 auf dem Althing angenommen wurde.[3] In seine Amtszeit fällt die Annahme der Jónsbók 1281.  Er kämpfte für die Einhaltung des Zölibats der Priester und gegen das Patronatsrecht, wobei er sich auf das neu eingeführte Christenrecht stützte.[4] Er forderte, dass kein Laie eine Kirche oder Kirchengut besitzen könne, und geriet damit in einen langen und erbitterten Kampf mit den mächtigen isländischen Kircheneignern, vor allem mit dem Häuptling Rafn Oddson, die noch in der Tradition des Eigenkirchenwesens standen. In diesem Anliegen beugte er sich nicht einmal König Erik Magnusson, den er in weltlichen Bereichen durchaus unterstützte. Es kam zum Konflikt mit Lodin Lepp, dem Gesandten des Königs.[5] Bischof Arne war deshalb am Hofe König Eriks schlecht angesehen.[6] Aber außerhalb Norwegens stand er doch in so hohem Ansehen, dass sogar König Erik menved von Dänemark ihn bat, König Erik von Norwegen dazu zu bewegen, seine Heerfahrten nach Dänemark einzustellen.[7] Der Streit um die Kirchengüter wurde 1297 durch den Vergleich von Øgvaldsnes (heute Avaldsnes) zwischen König Erik und Bischof Árni beigelegt.[8]  Sein Leben ist in Árni saga biskups, einer Biografie, die unmittelbar nach seinem Tode in Skálholt verfasst wurde, dargestellt. Sie schildert sein Leben und Wirken bis zum Jahre 1291, wo sie plötzlich abbricht. Es wird angenommen, dass sie von seinem Neffen, Bischof Árni Helgason (Bischof von 1304 bis 1320) verfasst wurde.[9] Jedenfalls benutzte der Verfasser das bischöfliche Archiv und hatte detaillierte Kenntnisse über seine Maßnahmen, wie aus den vielen zitierten Briefen zu ersehen ist. Sie ist die wichtigste Quelle zu seinem Leben. ",,
