Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Ireland,Waterford & Lismore,"	Máel Ísu Ua hAinmere  Malchus , O.S.B.",1096,1135,,,,
Ireland,Waterford & Lismore,vor 	Toistius,1152,...,,,,
Ireland,Waterford & Lismore,	Augustinus Ua Selbaig,1175,1182,,,,
Ireland,Waterford & Lismore,vor Robert I.,1198,1204,,,,
Ireland,Waterford & Lismore,"	David der Waliser  David ""Breathnach"" ",1204,1209,,,,
Ireland,Waterford & Lismore,	Robert II.,1210,1223,,,,
Ireland,Waterford & Lismore,	William Wace,1223,1225,,,,
Ireland,Waterford & Lismore,"	Walter, O.S.B.",1227,1232,,,,
Ireland,Waterford & Lismore,"	Stephan, O.S.B.",1232,1250,,,,
Ireland,Waterford & Lismore,	Henry,1250,1251,,,,
Ireland,Waterford & Lismore,	Philipp,1252,1254,,,,
Ireland,Waterford & Lismore,	Walter de Southwell,1255,1271,,,,
Ireland,Waterford & Lismore,	Stephen de Fulbourn danach Erzbischof von Tuam,1274,1286,,,,
Ireland,Waterford & Lismore,	Walter de Fulbourn vorher Bischof von Meath,1286,1307,,,,
Ireland,Waterford & Lismore,	Matthew,1308,1322,,,,
Ireland,Waterford & Lismore,	Nicholas Welifed,1323,1337,,,,
Ireland,Waterford & Lismore,	Richard Francis,1338,1349,,,,
Ireland,Waterford & Lismore,	Robert Elyot  danach Bischof von Killala,1349,1350,,,,
Ireland,Waterford & Lismore,"	Roger Cradock, O.F.M. danach Bischof von Llandaff",1350,1361,,,,
Ireland,Waterford & Lismore,Ronan,764,,,,,
Ireland,Waterford & Lismore,Cormac MacCuillenan,918,,,,,
Ireland,Waterford & Lismore,	Máel Muire Ua Loingsig †,1159,,,,,
Ireland,Waterford & Lismore,"	Gilla Críst Ua Connairche  Christianus , O.Cist. †",1186,,,,,
Ireland,Waterford & Lismore,	Felix,1179,1202,,,,
Ireland,Waterford & Lismore,"1216 	Malachias, O.Cist.",1203,vor,,,,
Ireland,Waterford & Lismore,	Thomas I.,1216,1218,,,,
Ireland,Waterford & Lismore,	Robert von Bedford,1218,1223,,,,
Ireland,Waterford & Lismore,	Griffin Christopher †,1252,,,,,
Ireland,Waterford & Lismore,"	Ailinn Ó Súilleabáin  Alan O'Sullivan , O.P. vorher Bischof von Cloyne",1246/48,1253,,,,
Ireland,Waterford & Lismore,	Thomas II.,1253,1270,,,,
Ireland,Waterford & Lismore,	John Roche  Rupe ,1270,1279,,,,
Ireland,Waterford & Lismore,	Richard Corre,1280,1308,,,,
Ireland,Waterford & Lismore,	William Fleming,1309,1321,,,,
Ireland,Waterford & Lismore,	John Leynagh  Launaught ,1321,1354,,,,
Ireland,Waterford & Lismore,	Thomas le Reve,1358,1363,,,,
Ireland,Waterford & Lismore,Thomas le Reve,1363,1393,,,,
Ireland,Waterford & Lismore,"Robert Read, O.P.",1394,1396,,,,
Ireland,Waterford & Lismore,Thomas Sparkford,1396,1397,,,,
Ireland,Waterford & Lismore,"John Deping, O.P.",1397,1400,,,,
Ireland,Waterford & Lismore,Thomas Snell,1400,1405,,,,
Ireland,Waterford & Lismore,"Roger Appleby, O.S.A.",1405,1409,,,,
Ireland,Waterford & Lismore,"John Geese, O.Carm.",1409,1414,,,,
Ireland,Waterford & Lismore,Thomas Colby,1414,1422,,,,
Ireland,Waterford & Lismore,Richard Cantwell,1426,1446,,,,
Ireland,Waterford & Lismore,Robert Poer,1446,1471,,,,
Ireland,Waterford & Lismore,"Richard Martin, O.F.M.",1472,1474,,,,
Ireland,Waterford & Lismore,John Bulcomb,1475,1479,,,,
Ireland,Waterford & Lismore,"Nicol Ó hAoncghusa, O.Cist.",1480,1481,,,,
Ireland,Waterford & Lismore,Thomas Purcell,1486,1517,,,,
Ireland,Waterford & Lismore,Nicholas Comyn,1519,1547,,,,
Ireland,Waterford & Lismore,"John MacGrath, O.F.M.",1548,1551,,,,
Ireland,Waterford & Lismore,Patrick Walsh,1553,1578,,,,
Ireland,Waterford & Lismore,"Patrick Comerford, O.E.S.A.",1628,1652,,,,
Ireland,Waterford & Lismore,John Brennan,1671,1693,,,,
Ireland,Waterford & Lismore,Richard Piers,1696,1739,,,,
Ireland,Tuam,Jarlath,520,,,,,
Ireland,Tuam,Murrough O’Nioc,1032,,,,,
Ireland,Tuam,Hugh O’Hessian,1085,,,,,
Ireland,Tuam,Cathusach Ua Conaill,1117,,,,,
Ireland,Tuam,Ó Clérig,1137,,,,,
Ireland,Tuam,Muiredach Ua Dubhthaig,1150,,,,,
Ireland,Tuam,Áed Ua h-Oissín Edanus erster Erzbischof,1152,1161,,,,
Ireland,Tuam,Cadla Ua Dubthaig Catholicus,1167,1201,,,,
Ireland,Tuam,Felix Ua Ruanada †,1238,,,,,
Ireland,Tuam,Máel Muire Ó Lachtáin Marianus,1236,1249,,,,
Ireland,Tuam,Flann Mac Flainn Florentius,1250,1256,,,,
Ireland,Tuam,James O’Laghtnan,1256,,,,,
Ireland,Tuam,Walter de Saleron,1257,1258,,,,
Ireland,Tuam,Tommaltach Ó Conchobair Thomas vorher Bischof von Elphin,1258,1279,,,,
Ireland,Tuam,Nicol Mac Flain nicht geweiht,1283,,,,,
Ireland,Tuam,Stephen de Fulbourn vorher Bischof von Waterford,1286,1288,,,,
Ireland,Tuam,William de Bermingham,1288,1312,,,,
Ireland,Tuam,Máel Sechlain Mac Áeda vorher Bischof von Elphin,1312,1348,,,,
Ireland,Tuam,Tomás MacCearbhaill MacCarwill danach Erzbischof von Cashel,1348,1365,,,,
