Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Lithuania,Kaunas,"Bernhard zur Lippe, O.Cist. 1218–1224",1140/50,1224,https://de.wikipedia.org/wiki/Bernhard_II._(Lippe),"Bernhard II. zur Lippe (* um 1140 auf Burg Lipperode; † 1224 in Mesothen) war der Begründer der Landesherrschaft Lippe und der Planstädte Lippstadt und Lemgo. Er trat nach 1194 in das Zisterzienserkloster Marienfeld ein, wurde um 1210 Abt im Kloster Dünamünde und 1218 Bischof von Selonien.  Bernhard II. war der Sohn Hermanns I. und der Neffe Bernhards I., die als erste als „Edle zur Lippe“ bezeichnet wurden. Er entwickelte sich im Laufe seines Lebens zu einer der wichtigsten und einflussreichsten westfälischen Persönlichkeiten der Stauferzeit. Ihm sind wahrscheinlich sämtliche Hoheits- und Sonderrechte der „Herren zur Lippe“ zu verdanken.  Bernhard II. besuchte vor seinem Amtsantritt 1167 wahrscheinlich die Domschule in Hildesheim (es existieren hierzu keine genauen Quellen), wo er später als Domherr wirkte. Die Ausbildung, die ihm an dieser Schule zuteilwurde, überragte die anderer Adeliger seiner Zeit. 1163 wurde er nach dem Tod seines älteren Bruders Heinrich zurück an die Lippe gerufen. Er erhielt eine standesgemäße ritterliche Ausbildung, wahrscheinlich zum Teil am Hofe Heinrichs des Löwen in Braunschweig, und wurde zum Ritter geschlagen.  Die Regentschaft in Lippe übernahm er nach dem Tod seines Vaters Hermann I. und dessen Bruders Bernhard I. im Heer des Kaisers Friedrich I. vor Rom. Die Besitzung bestand zu diesem Zeitpunkt bereits aus dem ursprünglichen Besitz der Familie nahe der heutigen Stadt Lippstadt sowie großen Teilen des Landes Lippe. Er heiratete 1167 Heilwig, Gräfin von Are, die dem rheinischen Adel angehörte und in weiterer Verwandtschaft mit dem Haus der Staufer verbunden war. Der Onkel seiner Frau, Friedrich von Ahre, war zu dieser Zeit Bischof von Münster (1152–1168) und wurde zu einem guten Freund des jungen Edelherren. Über Friedrich von Ahre sowie über dessen Vetter, Herrmann von Ahre, den Abt des Klosters Cappenberg, bestanden relativ enge Verbindungen mit dem Erzbischof von Köln, Philipp I. von Heinsberg, der Bernhards Lehnsherr war.  Die Zeit von 1177 bis 1181 war geprägt vom Sächsischen Krieg, in dem die Meinungsverschiedenheiten des Sachsenherzogs Heinrich der Löwe und des Kölner Erzbischofs Philipp von Heinsberg gipfelten. Trotz seiner engen Bindungen und der räumlichen Nähe zu Köln kämpfte Bernhard II. gemeinsam mit seinem Vetter Widukind von Rheda als Gefolgsmann Heinrichs des Löwen in Westfalen und zog sich so auch die Feindschaft seines Lehnsherren und der meisten anderen Adeligen Westfalens zu. Im Laufe des Krieges wurde Bernhard II. zu einem der engsten Gefährten Heinrichs des Löwen. Zugleich pflegte er jedoch auch seine guten Beziehungen zum neuen Bischof von Münster, Hermann II., der noch während seiner Amtszeit (1173 bis 1202) ab etwa 1180 zu einem engen Berater des Kaisers Barbarossa und so für Bernhard II. nach dem Kriegsende zu einem wichtigen Vermittler wurde.  Von 1179 an zerstörte Bernhard II. in seinem näheren Umland die Besitzungen des Kölner Erzbischofs. Vor allem das gerade im Aufbau begriffene Medebach wurde zerstört. Die Stadt Soest konnte aufgrund der gerade neu gebauten Stadtmauern einen Angriff abwehren. Im Anschluss daran wendeten sich Bernhards Truppen zur Unterstützung des sächsischen Heeres unter der Führung des Grafen Gunzelin von Schwerin im nördlichen Westfalen gegen ein vereintes Heer der mit den Kölnern verbündeten Fürsten, des Bischofs von Osnabrück sowie der Grafen von Tecklenburg und Ravensburg, denen die Grafen von Arnsberg und die Grafen von Schwalenberg zu Hilfe kamen. Sieger dieser Schlacht auf dem Halerfeld, zehn Kilometer vor Osnabrück, blieb das sächsische Heer.  Nach dieser Schlacht wurden jedoch im Zuge eines Vorstoßes der Kölner gegen die Anhänger Heinrichs 1177 das Zentrum der Besitzungen Bernhard II., das ehemalige Marktviertel nahe der Lippefurt (heute Nicolaiviertel in Lippstadt) und die ehemalige Nicolaikirche sowie seine Burg zerstört. Bernhard II. selbst wurde vertrieben und floh an den Hof Heinrichs des Löwen. Über ihn lernte Bernhard II. die Grundzüge der Stadtplanung, vor allem die Wasserbautechnik, kennen. Seine Eindrücke sammelte er in Braunschweig und Hildesheim, später auch bei der Verteidigung und dem Ausbau der Stadt Neuhaldensleben nahe Magdeburg. Er verteidigte bis 1181 die Festung des Herzogs in Haldensleben, die von Truppen des Kaisers Barbarossa belagert wurde. Er musste diese Festung aufgeben, als die Gegner den Fluss Ohre stauten und damit die Festung unter Wasser setzten. Bernhard II. und sein Gefolge konnten frei abziehen.  Heinrich der Löwe wurde 1180 auf dem Hoftag zu Gelnhausen geächtet und musste Deutschland verlassen. Von diesem Zeitpunkt an bricht die Überlieferung vom Leben Bernhards II. ab und setzt erst 1184 wieder ein. Der gängigen Version von seiner Rückkehr an die Lippe steht eine Fassung des Historikers Paul Leidinger gegenüber, der annimmt, dass Bernhard II. den Sachsenherzog ins Exil an den englischen Königshof in der Normandie begleitete. Von dort kehrte er nach Ansicht Leidingers erst 1184 zurück und traf an dessen Hoftag in Köln auf den Kölner Erzbischof und neuen Herzog von Westfalen Philipp von Heinsberg.  Leidinger begründet seine Darstellung der Geschichte dadurch, dass für die fragliche Zeit Quellen über Widukind von Rheda existieren, der sich bis dahin nie von Bernhard II. getrennt hatte. Vor allem die Urkunde zur Gründung des Klosters Marienfeld deutet auf die Trennung der beiden Freunde hin. Außerdem zeigt ein Relief der Lippstädter Marienkirche offensichtlich Bernhard II. auf einer Pilgerreise nach Santiago de Compostela, die er gemeinsam mit Heinrich dem Löwen unternommen haben soll.  Zur Zeit der Rückkehr Bernhards II. war das ehemalige Marktviertel an der Lippe wahrscheinlich schon wieder aufgebaut worden. Obwohl Bernhard in den zurückliegenden Schlachten immer an der Seite Heinrichs des Löwen gekämpft hatte, kam er doch zu dem damals sehr seltenen Privileg, mit Genehmigung des Kaisers Barbarossa eine Stadt im Zentrum seiner Besitzungen bauen zu dürfen. Diese wurden ihm im Zuge von Klärungen mit Philipp von Heinsberg zurückgegeben.  Vielleicht traf Bernhard II. zu Pfingsten 1184 auf dem Reichsfest in Mainz mit Barbarossa zusammen. Zum Fest der Schwertleite der Kaisersöhne sammelte sich der gesamte Adel des Landes mit Gefolge; nach unterschiedlichen Quellen sollen zwischen 20.000 und 70.000 Menschen versammelt gewesen sein. Nach einem Sturm wurde das Fest jedoch bereits am Pfingstmontag abgebrochen, und der Kaiser zog sich mit seinem Gefolge nach Gelnhausen zurück. Nach einer Überlieferung des Dichters Justinus Lippiensis, der das Leben Bernhards II. später in seinem als Lippiflorum (Lippische Rose, nach der Wappenrose der Herrn zur Lippe) benannten Werk reflektierte, befand sich Bernhard II. ebenfalls auf diesem Fest. Er soll dem Kaiser durch sein edles Auftreten aufgefallen und von ihm gebeten worden sein, einen Wunsch zu äußern. Der Wunsch Bernhards bestand darin, eine Stadt an der Lippe bauen zu dürfen, und Barbarossa soll ihm diesen Wunsch gewährt haben. Diese Geschichte ist sicher etwas blumig dargestellt, an der kaiserlichen Erlaubnis zur Stadtgründung gibt es jedoch kaum Zweifel. Wahrscheinlich war es dem Berater des Kaisers, Bischof Hermann II. von Münster, zu verdanken, dass dies geschah, und auch an der Vermittlung mit dem Kölner Erzbischof war er wahrscheinlich maßgeblich beteiligt.  Bernhard II. gründete nachfolgend 1185 (anderen Quellen zufolge schon 1184) die Stadt Lippe (heute Lippstadt im Kreis Soest) als erste Planstadt Westfalens. Nach ihrem Vorbild gründete er 1190 als zweite Stadt im Land Lippe Lemgo. In dieser Zeit war Bernhard II. auch an der Gründung des Klosters Marienfeld (gegr. 1185) beteiligt.  Sein Freund Widukind von Rheda nahm 1189 mit Kaiser Barbarossa am Dritten Kreuzzug teil und starb auf diesem. Als Widukinds Erbe erhielt Bernhard die Herrschaft über Rheda, und ihm wurde die Vogtei über die Klöster Liesborn und Freckenhorst übertragen.  Etwa 1192 erwirkte Bernhard II. die Erlaubnis, innerhalb des bischöflichen Forstbanngebietes die Falkenburg am Falkenberg zu bauen, wobei alle Rechte zwischen dem Bischofssitz Paderborn und ihm aufgeteilt wurden. Durch eine Krankheit regierungsunfähig geworden übergab Bernhard 1194 die Herrschaft an seinen Sohn Hermann II. (* um 1170) und ging danach als Mönch in das von ihm 1185 gegründete Zisterzienserkloster Marienfeld. Etwa 1210 wurde er Abt in Dünamünde und schließlich von 1218 bis 1224 Bischof von Selonien im Baltikum. Ende April 1224 starb Bernhard II., wahrscheinlich in Selburg, der Hauptstadt seines Bistums, oder in Mesoythen. Beigesetzt wurde er im Kloster Dünamünde.  Der Überlieferung nach soll Bernhard in der Zeit seiner Herrschaftsausübung durch Rauben und Brennen seinen Untertanen sehr viel Unrecht zugefügt haben. Hierfür habe ihn Gott mit Lahmheit an beiden Füßen gestraft. Der reuige Bernhard habe sich daraufhin demütig in die Obhut und Pflege von Zisterziensermönchen begeben und sei wegen seiner Heilung selber auch Zisterziensermönch geworden.[1]  Moderne Bänkelsänger erzählen die Mantelanekdote von Bernhard aus dem Lipperland. Dieser zufolge soll Bernhard zu spät zu einem Fest gekommen sein.[2] Da keine Sitzplätze mehr frei waren, setzten sich Bernhard und sein Gefolge auf ihre Mäntel. Nach Beendigung der Versammlung ließen sie ihre Mäntel liegen. Auf die Frage, weshalb sie die Mäntel liegen ließen antwortete er, dass es im Lipperland nicht üblich sei, die Sitzmöbel mitzunehmen. Am anderen Tag soll er vom Kaiser (Barbarossa) selbst Sitzmöglichkeiten bekommen haben.  Aus Bernhards Ehe mit Heilwig von Are-Hochstaden (* 1150, † 1196), Tochter des Grafen Otto von Are-Hochstaden, gingen folgende Kinder hervor: ",,
Lithuania,Kaunas,Lambert  † zwischen und Semgallen und Selonien danach nur noch Semgallen,1226,1227/1231,https://de.wikipedia.org/wiki/Lambert_(Semgallen),"Lambert (lateinisch Lambertus, lettisch Lamberts; † zwischen 1227 und 1234) war der zweite Bischof von Semgallen und Selonien im heutigen Lettland.  Lambert kam möglicherweise aus Solre im Hennegau, heute an der belgisch-französischen Grenze. Sein Vorgänger Bernhard zur Lippe war 1218 zum ersten Bischof für Selonien und Semgallen ernannt worden, ob er jemals tatsächlich in diesem Gebiet tätig war, ist unklar.[1] Dieser starb im Frühjahr 1224. Ende jenen Jahres wurde eine Bestätigungsurkunde für die Grenzen des Bistums Selonien durch Papst Honorius III. ausgestellt.[2] Der Bischof wurde nicht mit Namen genannt, es könnte bereits Lambert gewesen sein. In den Jahren 1225 und 1226 erschien er mehrmals als Zeuge in Urkunden in Riga. Im April jenen Jahres trat er Selonien als Bistumsgebiet an Bischof Albert von Riga ab und erhielt ganz Semgallen von diesem zugewiesen.[3] Auch von Lambert sind keine Informationen über eine Tätigkeit oder einen Aufenthalt in seinem Bistum überliefert.[4] 1227 war er als Begleitung des Legaten Wilhelm von Modena in Livland unterwegs.  1232 wurde erstmals Balduin als neuer Bischof von Semgallen genannt, 1234 wurde Lambert als verstorben bezeichnet. Von ihm ist ein Siegel als Bischof von Selonien erhalten. ",,
Lithuania,Kaunas,"Balduin von Alna, O.Cist. † 1232–1236",1243,,,,,
Lithuania,Kaunas,"Arnold, O.Cist. † frühestens 1246–1247",1261,,https://de.wikipedia.org/wiki/Arnold_von_Semgallen,"Arnold von Semgallen SOCist (* um 1200; † nach 1261) war 1246 bis 1247 Bischof von Semgallen und danach Auxiliarbischof im Rheinland.  Arnold gehörte dem Zisterzienserorden an und wurde 1246 Bischof des livländischen Bistums Semgallen, das im heutigen Erzbistum Kaunas aufging. Er wurde offenbar durch die kriegerischen Auseinandersetzungen in seinem Bistum von dort vertrieben und erhielt 1247 in Heinrich von Lützelburg einen Amtsnachfolger, von dem man aber nicht weiß, ob er sich je in seinem Sprengel aufhielt.  Arnold von Semgallen ging in den Westen Deutschlands und betätigte sich in den rheinischen Diözesen Köln, Mainz, Trier und Lüttich als Weihbischof. Zwischen 1247 und 1261 taucht er hier häufig urkundlich auf, besonders bei der Erteilung von Ablässen.[1] 1247 weihte er im Beisein von Erzbischof Konrad von Hochstaden und vieler hoher Kirchenfürsten die Basilika St. Kunibert zu Köln,[2] im gleichen Jahr einen Altar im Kloster Marienstatt und am 26. September 1257 den Hochaltar der Kölner St. Lupuskirche.[3]  1248 nahm er an der Wahl des Gegenkönigs Wilhelm von Holland teil; Papst Innozenz IV. bedankte sich bei ihm und seinen Mitbrüdern ausdrücklich für die dadurch gehabten Mühen.[4]  1253 war Arnold von Semgallen Mitkonsekrator der Klosterkirche Morimond, am 10. Mai 1254 weihte er die damals im Mainzer Erzbistum gelegene Abteikirche Otterberg.[5][6]  Mit Datum vom 14. Mai 1261 gewährte Arnold von Semgallen als Generalvikar des erwählten Lütticher Bischofs Heinrich III. von Geldern Ablässe für das Karmeliterkloster Köln. Damit tritt er letztmals urkundlich in Erscheinung und nennt sich hierbei „ehemaliger Bischof von Semgallen“. Über sein Todesdatum bzw. die -umstände ist nichts bekannt.[7] ",,
Lithuania,Kaunas,"Heinrich von Lützelburg, O.F.M. † 1247–1251 auch Bischof von Kurland, Bischof von Chiemsee",1263,1274,https://de.wikipedia.org/wiki/Heinrich_von_L%C3%BCtzelburg,"Heinrich von Lützelburg OFM († 8. Februar 1274) war 1247 bis 1251 Bischof von Semgallen, 1251 bis 1263 Bischof von Kurland und 1263 bis 1274 Bischof von Chiemsee.  Heinrich, dessen Geburtsjahr nicht bekannt ist, entstammte dem Geschlecht der Lützelburger und gehörte dem Orden der Franziskaner an. Im Dezember 1247 übertrug Papst Innozenz IV. Heinrich von Lützelburg das livländische Bistum Semgallen. Die Bischofsweihe sollte im päpstlichen Auftrag durch den Erzbischof von Preußen, Livland und Estland, Albert Suerbeer, erfolgen. Nachdem dieser dem Auftrag nicht nachkam, wurde Heinrich von seinem Onkel, dem Mainzer Erzbischof Siegfried III. von Eppstein in Mainz geweiht. Es ist nicht bekannt, ob sich Heinrich je in Semgallen aufgehalten hat. Für 1249 ist jedenfalls ein Aufenthalt in Petershausen bei Konstanz belegt, wo er einen Altar weihte. Im selben Jahr konsekrierte er zwei Altäre in der Kirche von Zoffingen bei Bern und erteilte auf der Kästenburg den Zisterzienserinnen des Klosters Lichtenthal Ablässe.  Nachdem das Bistum Semgallen am 3. März 1251 aufgehoben und dem Erzbistum Riga zugeschlagen worden war, erhielt Heinrich von Papst Innozenz IV. das vakante Bistum Kurland. Dort sollte er u. a. zusammen mit dem Bischof von Ösel die Einhaltung des päpstlichen Schutzversprechens überwachen, das dem litauischen Großfürsten Mindowe abgegeben wurde. In Absprache mit Gunther von Wüllersleben, dem Hochmeister des Deutschen Ordens, gründete Heinrich die Burg Memel, die als Bischofssitz dienen sollte. Nach der Teilung Kurlands ließ er vom Hochmeister die Grenzen seines Sprengels festlegen und begab sich, vermutlich in Begleitung des Bischofs von Ösel nach Nordwestdeutschland und Frankreich. Belegt sind Aufenthalte in Lübeck und Sens, wo er Verhandlungen mit dem livländischen Hochmeister des Deutschen Ordens führte. Im Frühjahr 1255 setzte er sich in Hachenborn in Hessen für einen Wiederaufbau des abgebrannten Augustiner-Frauenklosters ein. Im April 1257 war er in seiner Diözese und sollte im selben Jahr im Auftrag des Papstes Alexander IV. in Livland als Prediger für den Kreuzzug werben. Zusammen mit dem livländischen Ordensmeister Burkhard von Hornhausen regelte er 1258 in Memel die Pfarrorganisation der dem Orden unterworfenen Teile Kurlands. Vermutlich wegen des Kurenaufstandes und Einfälle der Litauer verließ er nach der Schlacht an der Durbe 1260 seine Diözese. Jedenfalls ist sein Aufenthalt im selben Jahr in Köln bezeugt, als er dort die Kirche des Minoritenklosters konsekrierte. Mit einer undatierten Urkunde, die vermutlich 1262 ausgestellt worden war, bestätigte er dem Domkapitel von Riga dessen Besitzungen, um die es später immer wieder zu Streitigkeiten kam.  Obwohl das Recht der Ernennung und Investitur der Bischöfe von Chiemsee dem Salzburger Erzbischof zustand, ernannte Papst Urban IV. nach dem Tod des Chiemseer Bischofs Heinrich am 13. Februar 1263 Heinrich von Lützelburg zu dessen Nachfolger. Die Einmischung des Papstes war wegen des damals herrschenden Salzburger Kirchenstreits, bei dem es um den Elekten Philipp von Spanheim ging, gerechtfertigt. Zwar wandte sich Heinrich nicht gegen Philipp von Spanheim, unterstützte jedoch Wladislaw von Schlesien, der 1267 von seinem früheren Hofmeister und nunmehrigen Bischof von Passau Petrus unter Assistenz Heinrichs geweiht wurde. An der im selben Jahr erfolgten Aussöhnung mit Philipp von Spanheim war auch Heinrich beteiligt.  Von Heinrichs Amtshandlungen ist bekannt, dass er 1267 im Zisterzienserkloster Raitenhaslach den Altar in der Kapelle der Heiligen Simon und Judas Thaddäus weihte und 1268 der Pfarrei Pillersee die bisherigen Privilegien bestätigte. 1271 gewährte er Ablässe für den Dominikusaltar in der Kirche des Frauenklosters Lienz, für den Bau der Kirche in Heiligenblut und für die Maria-Magdalena-Kapelle in Ridnaun, die durch ein Feuer zerstört worden war.  Heinrich von Lützelburg starb am 8. Februar 1274. Sein Leichnam wurde vermutlich in der Klosterkirche Herrenchiemsee beigesetzt.  Rüdiger von Bergheim-Radeck | Albert | Albert Suerbeer (Administrator) | Heinrich von Bilversheim (Administrator) | Heinrich | Heinrich von Lützelburg | Johann von Ennsthal | Konrad von Himberg | Friedrich von Fronau | Adalbert von Fohnsdorf | Ulrich von Montpreis | Konrad von Liechtenstein | Gerhoh von Waldeck | Hugo von Schärfenberg | Ludwig Radlkofen | Friedrich | Georg von Neuberg | Eckart von Pernegg | Engelmar Chrel | Friedrich Deys | Johann Ebser | Silvester Pflieger | Ulrich von Plankenfels | Bernhard von Kraiburg | Georg Altdorfer | Ludwig Ebmer ",,
Lithuania,Kaunas,Matthias I. von Wilna Motiejus I. Vilnietis †,1453,,,,,
Lithuania,Kaunas,Mikalojus I. Trakiškis,1423,1434,,,,
Lithuania,Kaunas,Petras iš Lvovo,1434,1435,,,,
Lithuania,Kaunas,Jokubas Trakiškis Vilnietis,1436,1439,,,,
Lithuania,Kaunas,Baltramiejus I. Pultuskietis,1440,1453,,,,
