Country,Diocese,Name,From,To,Bio Link,German Bio,English Bio,Archbishop
Macedonia,Skopje,Paregorius ,347,,,,,
Macedonia,Skopje,Ursilius ,451,,,,,
Macedonia,Skopje,Johannes ,492,,,,,
Macedonia,Skopje,Bennatus ,553,,,,,
Macedonia,Skopje,Marino,1204,,,,,
Macedonia,Skopje,Johannes,1298,1321,,,,
Macedonia,Skopje,Johannes Strote OP Weihbischof in Köln ,,,https://de.wikipedia.org/wiki/Johann_Strote,"Johann Strote († 1350) war Weihbischof in Köln.  Über Johannes Strote ist lediglich bekannt, dass er dem Orden der Dominikaner angehörte, am 5. März 1327 von Papst Johannes XXII. zum Titularbischof von Scopiensis und Weihbischof in Köln ernannt wurde und 1350 starb.[1]  Albertus Magnus | Hermann von Köln | Heinrich Jonghen | Johann von Konstanz | Hermann von Köln | Kuno | Johann Strote | Johannes Kaiode | Rudolf | Volkard | Johannes von Syberg | Peter von Zeric | Everhard von Westerheim (Westrem) | Everhard von Muisgen | Simon von Speyer | Konrad von Arnsberg | Johann von Ahlen | Wilhelm | Johann Schleeter | Hilger de Burgis | Heinrich von Rübenach | Arnold von Unkel | Johannes Welmecher | Johann Spender | Dietrich Wichwael | Quirin op dem Veld von Willich | Johann Nopel der Ältere | Eberhard Billick | Johann Pennarius | Theobald Craschel | Laurentius Fabritius | Johann Nopel der Jüngere | Theodor Riphan | Otto Gereon von Gutmann zu Sobernheim | Georg Pauli-Stravius | Adrian van Walenburch | Peter van Walenburch | Paul von Aussem | Johann Heinrich von Anethan | Johann Peter von Burmann | Gottfried Ulrich de la Margelle ",,
Macedonia,Skopje,Federico de Retersberck OFM,1351,?,,,,
Macedonia,Skopje,Johannes Kaiode OESA,1352,?,https://de.wikipedia.org/wiki/Johannes_Kaiode,"Johannes Kaiode († vor dem 22. Oktober 1354) war Weihbischof in Köln.  Der Augustiner wurde am 14. März 1352 zum Titularbischof von Skopje und Weihbischof in Köln ernannt, starb aber noch vor dem 22. Oktober 1354.[1]  Albertus Magnus | Hermann von Köln | Heinrich Jonghen | Johann von Konstanz | Hermann von Köln | Kuno | Johann Strote | Johannes Kaiode | Rudolf | Volkard | Johannes von Syberg | Peter von Zeric | Everhard von Westerheim (Westrem) | Everhard von Muisgen | Simon von Speyer | Konrad von Arnsberg | Johann von Ahlen | Wilhelm | Johann Schleeter | Hilger de Burgis | Heinrich von Rübenach | Arnold von Unkel | Johannes Welmecher | Johann Spender | Dietrich Wichwael | Quirin op dem Veld von Willich | Johann Nopel der Ältere | Eberhard Billick | Johann Pennarius | Theobald Craschel | Laurentius Fabritius | Johann Nopel der Jüngere | Theodor Riphan | Otto Gereon von Gutmann zu Sobernheim | Georg Pauli-Stravius | Adrian van Walenburch | Peter van Walenburch | Paul von Aussem | Johann Heinrich von Anethan | Johann Peter von Burmann | Gottfried Ulrich de la Margelle ",,
Macedonia,Skopje,Johannes von Sieberg OCist Weihbischof in Köln,1354,"1384,",https://de.wikipedia.org/wiki/Johannes_von_Syberg,"Johann(es) von Syberg OCist auch Johannes von Sieberg (Siegburg) († 30. September oder 1. Oktober 1383 – nach anderen Angaben: Ende September 1366[1] – in Altenberg) war Weihbischof in Köln.  Johann(es) entstammte dem Kölner Patriziergeschlecht von Syberg.[2] Der Mönch der Zisterzienser-Abtei Altenberg ist bis 1356 mit Pontifikalfunktionen, also als Weihbischof, im Erzbistum Köln erwähnt. Nachdem er noch einige Jahre als Weihbischof in Mainz tätig war, zog er sich in sein Kloster Altenberg zurück, in dessen Kirche er auch bestattet ist. Er war Titularbischof von Skopje.  Albertus Magnus | Hermann von Köln | Heinrich Jonghen | Johann von Konstanz | Hermann von Köln | Kuno | Johann Strote | Johannes Kaiode | Rudolf | Volkard | Johannes von Syberg | Peter von Zeric | Everhard von Westerheim (Westrem) | Everhard von Muisgen | Simon von Speyer | Konrad von Arnsberg | Johann von Ahlen | Wilhelm | Johann Schleeter | Hilger de Burgis | Heinrich von Rübenach | Arnold von Unkel | Johannes Welmecher | Johann Spender | Dietrich Wichwael | Quirin op dem Veld von Willich | Johann Nopel der Ältere | Eberhard Billick | Johann Pennarius | Theobald Craschel | Laurentius Fabritius | Johann Nopel der Jüngere | Theodor Riphan | Otto Gereon von Gutmann zu Sobernheim | Georg Pauli-Stravius | Adrian van Walenburch | Peter van Walenburch | Paul von Aussem | Johann Heinrich von Anethan | Johann Peter von Burmann | Gottfried Ulrich de la Margelle ",,
Macedonia,Skopje,Antonio di Teramo OFM,1400,?,,,,
Macedonia,Skopje,Roberto Towta OCist,1402,?,,,,
Macedonia,Skopje,Giovanni Heldin OP,?,1466,,,,
Macedonia,Skopje,Benedetto Warsalunus,1518,?,,,,
Macedonia,Skopje,Stefano Zacalnizi,1554,?,,,,
Macedonia,Skopje,Francesco de Andreis,1571,?,,,,
Macedonia,Skopje,Giacinto Macripodanus OP,1649,?,,,,
Macedonia,Skopje,Andrea Bogdani,1656,1677,,,,
